Horizon,Depth,Al Concentration,Si Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Ni Concentration,Cu Concentration,Zn Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Pb Concentration,Th Concentration
M,0-10,6.37,25.55,322.78,1.47,0.18,0.36,58.50,38.80,325.10,1.84,16.40,18.20,50.00,70.30,77.80,21.10,399.20,15.00,21.90,10.40
L,10-20,6.26,27.22,220.90,1.23,0.07,0.29,47.78,33.60,247.20,1.50,15.90,14.60,34.80,52.10,52.40,16.00,285.80,11.90,10.20,11.33
K,20-30,6.63,26.58,227.50,1.22,0.10,0.30,49.20,37.00,247.80,1.73,17.00,15.20,40.70,58.20,55.20,16.80,285.10,12.20,10.50,11.00
J,30-40,6.74,25.88,198.20,1.26,0.14,0.31,55.00,34.90,253.00,1.93,19.10,15.50,45.80,64.70,58.10,17.50,272.10,13.50,11.60,13.90
I,40-50,7.18,26.36,209.90,1.29,0.15,0.31,56.70,36.90,245.00,2.05,20.30,15.70,49.50,69.50,61.70,17.40,270.70,12.80,12.40,11.50
H,50-60,7.23,26.53,156.80,1.34,0.18,0.32,58.10,42.10,253.67,2.07,21.10,14.90,49.60,69.40,61.80,17.40,282.00,13.30,12.80,9.70
G,60-70,7.32,26.67,146.10,1.35,0.13,0.31,54.40,43.30,232.56,2.01,21.70,16.30,47.00,67.70,59.20,17.20,289.50,12.70,12.10,9.00
F,70-80,6.95,25.99,117.67,1.29,0.64,0.31,59.20,38.60,231.44,1.92,19.80,15.90,44.80,64.00,61.80,17.10,286.00,13.00,12.10,11.67
E,80-90,6.83,25.93,128.40,1.28,0.29,0.30,50.60,35.20,193.33,1.81,21.60,15.30,41.50,60.70,55.90,16.40,285.20,12.40,11.30,12.40
D,90-100,6.77,26.63,101.60,1.27,0.39,0.30,52.80,38.80,190.60,1.73,19.30,15.50,39.90,58.90,56.20,15.60,288.90,11.90,10.80,10.00
C,100-110,5.45,21.75,108.38,1.06,5.03,0.27,53.60,39.11,202.22,1.59,19.30,15.90,38.40,56.20,87.20,16.40,251.30,11.60,10.80,11.20
B,110-120,3.00,12.55,118.67,0.65,15.10,0.21,56.44,39.29,151.70,1.14,18.10,14.90,29.80,40.40,152.10,12.50,194.20,9.30,8.90,13.20
A,120-130,1.92,9.57,,0.46,19.73,0.15,43.11,35.56,101.00,0.76,14.80,11.60,21.20,29.90,178.40,9.60,155.80,7.40,6.50,12.67
A,0-14,6.34,26.02,293.67,1.40,0.15,0.34,55.44,37.31,302.84,1.74,16.26,17.17,45.66,65.10,70.54,19.64,366.80,14.11,18.56,10.67
Bt1,14-47,6.71,26.43,213.69,1.25,0.12,0.30,52.29,35.72,248.67,1.82,18.14,15.29,43.04,61.46,56.95,16.99,278.23,12.67,11.18,12.05
Bt2,47-68,7.26,26.56,160.31,1.34,0.16,0.32,56.49,41.81,244.39,2.04,21.21,15.55,48.60,68.77,60.80,17.32,283.24,13.00,12.48,9.69
Bt3,68-103,6.76,25.83,116.97,1.27,0.82,0.30,54.16,38.00,206.44,1.81,20.24,15.64,42.03,61.14,60.54,16.42,283.83,12.38,11.39,11.21
Btk,103-112,4.91,19.71,110.66,0.97,7.27,0.26,54.23,39.15,191.00,1.49,19.03,15.68,36.49,52.69,101.62,15.53,238.61,11.09,10.38,11.64
Bkk,112-130,2.40,10.90,118.67,0.54,17.67,0.18,49.04,37.21,123.53,0.92,16.27,13.07,25.02,34.57,166.71,10.89,172.87,8.24,7.57,12.90