,Reading #,Date,Time,Method Name,User Factor Name,Grid ID,Latitude,Longitude,Test Status,User ID,Status ID,Compound Template Name, Units,Mg Concentration,Mg Error1s,Mg Action Level,Mg Compound,Mg Compound Level,Mg Compound Error,Al Concentration,Al Error1s,Al Action Level,Al Compound,Al Compound Level,Al Compound Error,Si Concentration,Si Error1s,Si Action Level,Si Compound,Si Compound Level,Si Compound Error,P Concentration,P Error1s,P Action Level,P Compound,P Compound Level,P Compound Error,S Concentration,S Error1s,S Action Level,S Compound,S Compound Level,S Compound Error,K Concentration,K Error1s,K Action Level,K Compound,K Compound Level,K Compound Error,Ca Concentration,Ca Error1s,Ca Action Level,Ca Compound,Ca Compound Level,Ca Compound Error,Ti Concentration,Ti Error1s,Ti Action Level,Ti Compound,Ti Compound Level,Ti Compound Error,V Concentration,V Error1s,V Action Level,V Compound,V Compound Level,V Compound Error,Cr Concentration,Cr Error1s,Cr Action Level,Cr Compound,Cr Compound Level,Cr Compound Error,Mn Concentration,Mn Error1s,Mn Action Level,Mn Compound,Mn Compound Level,Mn Compound Error,Fe Concentration,Fe Error1s,Fe Action Level,Fe Compound,Fe Compound Level,Fe Compound Error,Co Concentration,Co Error1s,Co Action Level,Co Compound,Co Compound Level,Co Compound Error,Ni Concentration,Ni Error1s,Ni Action Level,Ni Compound,Ni Compound Level,Ni Compound Error,Cu Concentration,Cu Error1s,Cu Action Level,Cu Compound,Cu Compound Level,Cu Compound Error,Zn Concentration,Zn Error1s,Zn Action Level,Zn Compound,Zn Compound Level,Zn Compound Error,As Concentration,As Error1s,As Action Level,As Compound,As Compound Level,As Compound Error,Se Concentration,Se Error1s,Se Action Level,Se Compound,Se Compound Level,Se Compound Error,Rb Concentration,Rb Error1s,Rb Action Level,Rb Compound,Rb Compound Level,Rb Compound Error,Sr Concentration,Sr Error1s,Sr Action Level,Sr Compound,Sr Compound Level,Sr Compound Error,Y Concentration,Y Error1s,Y Action Level,Y Compound,Y Compound Level,Y Compound Error,Zr Concentration,Zr Error1s,Zr Action Level,Zr Compound,Zr Compound Level,Zr Compound Error,Nb Concentration,Nb Error1s,Nb Action Level,Nb Compound,Nb Compound Level,Nb Compound Error,Mo Concentration,Mo Error1s,Mo Action Level,Mo Compound,Mo Compound Level,Mo Compound Error,Ag Concentration,Ag Error1s,Ag Action Level,Ag Compound,Ag Compound Level,Ag Compound Error,Cd Concentration,Cd Error1s,Cd Action Level,Cd Compound,Cd Compound Level,Cd Compound Error,Sn Concentration,Sn Error1s,Sn Action Level,Sn Compound,Sn Compound Level,Sn Compound Error,Sb Concentration,Sb Error1s,Sb Action Level,Sb Compound,Sb Compound Level,Sb Compound Error,Ba Concentration,Ba Error1s,Ba Action Level,Ba Compound,Ba Compound Level,Ba Compound Error,W Concentration,W Error1s,W Action Level,W Compound,W Compound Level,W Compound Error,Hg Concentration,Hg Error1s,Hg Action Level,Hg Compound,Hg Compound Level,Hg Compound Error,Pb Concentration,Pb Error1s,Pb Action Level,Pb Compound,Pb Compound Level,Pb Compound Error,Bi Concentration,Bi Error1s,Bi Action Level,Bi Compound,Bi Compound Level,Bi Compound Error,Th Concentration,Th Error1s,Th Action Level,Th Compound,Th Compound Level,Th Compound Error,U Concentration,U Error1s,U Action Level,U Compound,U Compound Level,U Compound Error,LE Concentration,LE Error1s,LE Action Level,LE Compound,LE Compound Level,LE Compound Error
16,37,5/17/20,13:09:10,Geochem(3-Beam),idvl,F06,33.59654335,-101.8637337,No error ,Administrator,0,,%,<LOD,2.27081,,,,,1.21341,0.03242,,,,,5.87922,0.02672,,,,,0.21951,0.00359,,,,,0.24483,0.00358,,,,,0.95858,0.00406,,,,,1.45014,0.00485,,,,,0.11839,0.00624,,,,,<LOD,0.00779,,,,,<LOD,0.00373,,,,,0.0236,0.00089,,,,,0.86142,0.00385,,,,,0.00291,0.00085,,,,,<LOD,0.00134,,,,,0.00193,0.00019,,,,,0.01031,0.0002,,,,,0.00034,8.00E-05,,,,,<LOD,0.0002,,,,,0.00335,6.00E-05,,,,,0.00628,7.00E-05,,,,,0.00089,7.00E-05,,,,,0.01694,0.00012,,,,,0.00046,8.00E-05,,,,,0.00041,0.00011,,,,,<LOD,0.00186,,,,,<LOD,0.00211,,,,,<LOD,0.00287,,,,,<LOD,0.00366,,,,,<LOD,0.11305,,,,,<LOD,0.00115,,,,,<LOD,0.00071,,,,,0.00258,0.0001,,,,,<LOD,0.00242,,,,,<LOD,0.00114,,,,,<LOD,0.00067,,,,,88.98452,0.04649,,,,
17,38,5/17/20,13:11:32,Geochem(3-Beam),idvl,F05,33.59654983,-101.8637442,No error ,Administrator,0,,%,<LOD,1.67872,,,,,2.08088,0.0385,,,,,9.28668,0.03741,,,,,0.16889,0.00381,,,,,0.24257,0.00395,,,,,0.93133,0.00434,,,,,2.63473,0.00842,,,,,0.18039,0.00765,,,,,<LOD,0.01019,,,,,<LOD,0.00467,,,,,0.02802,0.00108,,,,,1.40989,0.00589,,,,,<LOD,0.00598,,,,,0.00131,0.00033,,,,,0.00151,0.00023,,,,,0.00907,0.00022,,,,,0.00055,8.00E-05,,,,,<LOD,0.00022,,,,,0.00463,8.00E-05,,,,,0.00855,9.00E-05,,,,,0.00102,8.00E-05,,,,,0.02268,0.00015,,,,,0.0008,9.00E-05,,,,,<LOD,0.0007,,,,,<LOD,0.00212,,,,,<LOD,0.00242,,,,,<LOD,0.00331,,,,,<LOD,0.00423,,,,,<LOD,0.14039,,,,,<LOD,0.00136,,,,,<LOD,0.00083,,,,,0.00211,0.0001,,,,,<LOD,0.00268,,,,,<LOD,0.00127,,,,,<LOD,0.00074,,,,,82.9844,0.06276,,,,
18,39,5/17/20,13:13:25,Geochem(3-Beam),idvl,E05,33.59653699,-101.8637714,No error ,Administrator,0,,%,<LOD,1.70119,,,,,1.8753,0.03634,,,,,7.51417,0.03075,,,,,0.15245,0.0033,,,,,0.2911,0.00372,,,,,1.37068,0.00514,,,,,1.81094,0.00581,,,,,0.16775,0.00672,,,,,<LOD,0.00876,,,,,<LOD,0.00414,,,,,0.02425,0.00095,,,,,1.21012,0.00492,,,,,<LOD,0.00514,,,,,0.00103,0.00029,,,,,0.00192,0.00021,,,,,0.01065,0.00021,,,,,0.0006,8.00E-05,,,,,<LOD,0.0002,,,,,0.00416,7.00E-05,,,,,0.00701,8.00E-05,,,,,0.00086,7.00E-05,,,,,0.01836,0.00013,,,,,0.00058,8.00E-05,,,,,<LOD,0.00063,,,,,<LOD,0.00191,,,,,<LOD,0.00217,,,,,<LOD,0.00295,,,,,<LOD,0.00376,,,,,<LOD,0.12159,,,,,<LOD,0.00121,,,,,<LOD,0.00073,,,,,0.00279,0.0001,,,,,<LOD,0.00249,,,,,0.00082,0.00022,,,,,<LOD,0.00068,,,,,85.53447,0.05427,,,,
19,40,5/17/20,13:15:02,Geochem(3-Beam),idvl,D05,33.59665831,-101.8637153,No error ,Administrator,0,,%,0.65661,0.17448,,,,,3.21906,0.03795,,,,,13.51738,0.04792,,,,,0.14203,0.00321,,,,,0.15625,0.00314,,,,,1.03397,0.00441,,,,,2.16112,0.00723,,,,,0.22544,0.00719,,,,,<LOD,0.00926,,,,,0.00368,0.00095,,,,,0.0255,0.00099,,,,,1.45551,0.00589,,,,,<LOD,0.00542,,,,,0.0015,0.00029,,,,,0.00185,0.0002,,,,,0.0099,0.0002,,,,,0.0008,8.00E-05,,,,,<LOD,0.00021,,,,,0.00471,7.00E-05,,,,,0.00763,8.00E-05,,,,,0.00125,7.00E-05,,,,,0.02468,0.00015,,,,,0.00072,8.00E-05,,,,,<LOD,0.00062,,,,,<LOD,0.00189,,,,,<LOD,0.00215,,,,,<LOD,0.00295,,,,,<LOD,0.00379,,,,,0.04095,0.01146,,,,,<LOD,0.00119,,,,,<LOD,0.00074,,,,,0.00276,0.0001,,,,,0.00157,0.00043,,,,,<LOD,0.00111,,,,,<LOD,0.00066,,,,,77.30514,0.15091,,,,
20,41,5/17/20,13:16:53,Geochem(3-Beam),idvl,C05,33.59655944,-101.8636427,No error ,Administrator,0,,%,<LOD,1.13323,,,,,2.60996,0.03486,,,,,9.07698,0.03177,,,,,0.17137,0.00326,,,,,0.22031,0.00313,,,,,0.9408,0.00366,,,,,3.55238,0.00943,,,,,0.19244,0.00677,,,,,<LOD,0.00902,,,,,0.00382,0.00091,,,,,0.03525,0.00098,,,,,1.47209,0.00532,,,,,<LOD,0.00536,,,,,0.00101,0.00027,,,,,0.00306,0.0002,,,,,0.01359,0.00022,,,,,0.00081,9.00E-05,,,,,<LOD,0.0002,,,,,0.00437,7.00E-05,,,,,0.01112,9.00E-05,,,,,0.00111,7.00E-05,,,,,0.01973,0.00013,,,,,0.0006,8.00E-05,,,,,<LOD,0.00059,,,,,<LOD,0.00178,,,,,<LOD,0.00202,,,,,<LOD,0.00274,,,,,<LOD,0.00349,,,,,0.03761,0.01106,,,,,<LOD,0.00115,,,,,<LOD,0.00071,,,,,0.00384,0.00011,,,,,<LOD,0.00231,,,,,<LOD,0.00109,,,,,<LOD,0.00065,,,,,81.62775,0.05758,,,,
21,42,5/17/20,13:18:28,Geochem(3-Beam),idvl,C04,33.59663024,-101.8635655,No error ,Administrator,0,,%,<LOD,1.19814,,,,,2.06473,0.03284,,,,,6.48321,0.02546,,,,,0.17998,0.00315,,,,,0.18818,0.00289,,,,,1.11401,0.004,,,,,3.35063,0.00891,,,,,0.12965,0.00612,,,,,<LOD,0.00812,,,,,0.00281,0.00085,,,,,0.02568,0.00089,,,,,1.15656,0.00442,,,,,<LOD,0.00468,,,,,0.001,0.00026,,,,,0.0023,0.00019,,,,,0.01197,0.0002,,,,,0.0006,8.00E-05,,,,,<LOD,0.00019,,,,,0.00417,6.00E-05,,,,,0.00994,8.00E-05,,,,,0.00112,7.00E-05,,,,,0.01753,0.00012,,,,,0.00079,8.00E-05,,,,,<LOD,0.00057,,,,,<LOD,0.00177,,,,,<LOD,0.00201,,,,,<LOD,0.00274,,,,,<LOD,0.00352,,,,,<LOD,0.11432,,,,,<LOD,0.00114,,,,,<LOD,0.0007,,,,,0.00334,0.0001,,,,,0.00271,0.0004,,,,,<LOD,0.00104,,,,,<LOD,0.00061,,,,,85.24909,0.04939,,,,
22,43,5/17/20,13:21:17,Geochem(3-Beam),idvl,D04,33.59662274,-101.8635655,No error ,Administrator,0,,%,<LOD,1.4035,,,,,2.44816,0.03866,,,,,8.77077,0.03442,,,,,0.21251,0.00383,,,,,0.19495,0.00355,,,,,1.19971,0.00479,,,,,3.08085,0.00925,,,,,0.18056,0.00734,,,,,<LOD,0.00981,,,,,<LOD,0.00464,,,,,0.02713,0.00106,,,,,1.44066,0.00578,,,,,<LOD,0.0059,,,,,0.00127,0.00031,,,,,0.00232,0.00023,,,,,0.01146,0.00023,,,,,0.0006,0.0001,,,,,<LOD,0.00022,,,,,0.00491,8.00E-05,,,,,0.00883,9.00E-05,,,,,0.00126,8.00E-05,,,,,0.02304,0.00015,,,,,0.00065,9.00E-05,,,,,<LOD,0.00067,,,,,<LOD,0.00206,,,,,<LOD,0.00235,,,,,<LOD,0.00322,,,,,<LOD,0.00413,,,,,<LOD,0.1363,,,,,<LOD,0.00131,,,,,<LOD,0.00083,,,,,0.00381,0.00012,,,,,<LOD,0.0026,,,,,<LOD,0.00123,,,,,<LOD,0.00073,,,,,82.38656,0.06171,,,,
23,44,5/17/20,13:22:50,Geochem(3-Beam),idvl,E04,33.59654367,-101.863656,No error ,Administrator,0,,%,<LOD,1.66432,,,,,1.85261,0.03347,,,,,6.8021,0.02697,,,,,0.1299,0.00286,,,,,0.1582,0.00295,,,,,1.19242,0.00431,,,,,1.52283,0.00468,,,,,0.10035,0.00559,,,,,<LOD,0.00719,,,,,<LOD,0.00348,,,,,0.03526,0.00094,,,,,0.99153,0.00396,,,,,<LOD,0.00427,,,,,<LOD,0.00119,,,,,0.00163,0.00017,,,,,0.01744,0.00023,,,,,0.00027,7.00E-05,,,,,<LOD,0.00017,,,,,0.00278,5.00E-05,,,,,0.00664,7.00E-05,,,,,0.00065,7.00E-05,,,,,0.01226,0.0001,,,,,0.00046,8.00E-05,,,,,<LOD,0.00057,,,,,<LOD,0.00168,,,,,<LOD,0.0019,,,,,<LOD,0.00257,,,,,<LOD,0.00327,,,,,<LOD,0.10405,,,,,<LOD,0.0011,,,,,<LOD,0.00063,,,,,0.00185,8.00E-05,,,,,<LOD,0.00227,,,,,0.00083,0.0002,,,,,0.00033,8.00E-05,,,,,87.16966,0.04762,,,,
24,45,5/17/20,13:24:53,Geochem(3-Beam),idvl,F04,33.59656978,-101.863666,No error ,Administrator,0,,%,<LOD,1.76672,,,,,1.3345,0.03385,,,,,5.52762,0.02573,,,,,0.24827,0.00379,,,,,0.36945,0.00399,,,,,1.28155,0.00495,,,,,2.35843,0.00734,,,,,0.15053,0.00669,,,,,<LOD,0.00872,,,,,<LOD,0.0042,,,,,0.03355,0.00104,,,,,1.21841,0.00499,,,,,<LOD,0.00521,,,,,0.00104,0.00029,,,,,0.00244,0.00021,,,,,0.01423,0.00024,,,,,0.00065,8.00E-05,,,,,<LOD,0.0002,,,,,0.00417,7.00E-05,,,,,0.00862,9.00E-05,,,,,0.001,7.00E-05,,,,,0.01922,0.00013,,,,,0.00058,9.00E-05,,,,,<LOD,0.00064,,,,,<LOD,0.00192,,,,,<LOD,0.00218,,,,,<LOD,0.00297,,,,,<LOD,0.00379,,,,,<LOD,0.12559,,,,,<LOD,0.00124,,,,,<LOD,0.00076,,,,,0.0027,0.0001,,,,,<LOD,0.00249,,,,,<LOD,0.00118,,,,,<LOD,0.0007,,,,,87.42303,0.04974,,,,
25,46,5/17/20,13:28:52,Geochem(3-Beam),idvl,F03,33.59662455,-101.8637509,No error ,Administrator,0,,%,<LOD,2.16088,,,,,0.79065,0.03207,,,,,4.94552,0.02493,,,,,0.13011,0.00331,,,,,0.57549,0.00473,,,,,1.13258,0.00471,,,,,2.14307,0.00686,,,,,0.07053,0.00579,,,,,<LOD,0.00742,,,,,<LOD,0.00373,,,,,0.02009,0.00087,,,,,0.5956,0.00317,,,,,0.00499,0.00076,,,,,<LOD,0.00135,,,,,0.00265,0.0002,,,,,0.0131,0.00022,,,,,0.00032,9.00E-05,,,,,<LOD,0.0002,,,,,0.00274,6.00E-05,,,,,0.00747,8.00E-05,,,,,0.00054,7.00E-05,,,,,0.01322,0.00012,,,,,0.00038,9.00E-05,,,,,<LOD,0.00065,,,,,<LOD,0.00191,,,,,<LOD,0.00217,,,,,<LOD,0.00292,,,,,<LOD,0.00371,,,,,<LOD,0.10735,,,,,<LOD,0.00121,,,,,<LOD,0.00071,,,,,0.00403,0.00011,,,,,<LOD,0.00255,,,,,0.00111,0.00022,,,,,<LOD,0.00071,,,,,89.54583,0.04576,,,,
26,47,5/17/20,13:30:37,Geochem(3-Beam),idvl,E03,33.59657909,-101.8636998,No error ,Administrator,0,,%,<LOD,1.43396,,,,,2.40093,0.03692,,,,,9.06536,0.03429,,,,,0.1538,0.00341,,,,,0.1551,0.00327,,,,,0.95779,0.00401,,,,,2.851,0.00839,,,,,0.19815,0.00726,,,,,<LOD,0.00956,,,,,<LOD,0.00432,,,,,0.03363,0.00103,,,,,1.43069,0.00557,,,,,<LOD,0.00566,,,,,<LOD,0.00144,,,,,0.00296,0.00023,,,,,0.03549,0.00037,,,,,0.00119,0.00012,,,,,<LOD,0.00022,,,,,0.00451,7.00E-05,,,,,0.01079,0.0001,,,,,0.00108,8.00E-05,,,,,0.02012,0.00014,,,,,0.00048,9.00E-05,,,,,<LOD,0.00064,,,,,<LOD,0.00197,,,,,<LOD,0.00224,,,,,<LOD,0.00307,,,,,<LOD,0.00393,,,,,<LOD,0.13305,,,,,<LOD,0.00154,,,,,<LOD,0.00081,,,,,0.00698,0.00014,,,,,<LOD,0.00252,,,,,<LOD,0.00119,,,,,<LOD,0.0007,,,,,82.66994,0.05942,,,,
27,48,5/17/20,13:32:24,Geochem(3-Beam),idvl,D03,33.59655841,-101.8636532,No error ,Administrator,0,,%,<LOD,1.04356,,,,,3.66935,0.03995,,,,,16.77591,0.04921,,,,,0.12015,0.00322,,,,,0.08027,0.00308,,,,,1.28005,0.00474,,,,,1.66676,0.00516,,,,,0.25567,0.00781,,,,,<LOD,0.00991,,,,,0.00631,0.00104,,,,,0.02653,0.00102,,,,,1.54384,0.00567,,,,,<LOD,0.0058,,,,,0.00152,0.00031,,,,,0.00237,0.00022,,,,,0.01133,0.00022,,,,,0.00073,0.0001,,,,,<LOD,0.00021,,,,,0.00527,7.00E-05,,,,,0.0084,9.00E-05,,,,,0.00133,8.00E-05,,,,,0.02657,0.00015,,,,,0.00076,9.00E-05,,,,,<LOD,0.00065,,,,,<LOD,0.00199,,,,,<LOD,0.00226,,,,,<LOD,0.0031,,,,,<LOD,0.00398,,,,,<LOD,0.13575,,,,,<LOD,0.00128,,,,,<LOD,0.0008,,,,,0.0047,0.00012,,,,,<LOD,0.00249,,,,,<LOD,0.00117,,,,,<LOD,0.00069,,,,,74.51219,0.07184,,,,
28,49,5/17/20,13:34:10,Geochem(3-Beam),idvl,C03,33.59650626,-101.8635661,No error ,Administrator,0,,%,0.59086,0.13616,,,,,4.19133,0.03724,,,,,19.54126,0.0552,,,,,0.15669,0.00308,,,,,0.08388,0.00267,,,,,1.14463,0.00423,,,,,1.60949,0.00495,,,,,0.23167,0.00697,,,,,<LOD,0.00865,,,,,0.00306,0.00088,,,,,0.02643,0.00092,,,,,1.38452,0.00509,,,,,<LOD,0.00497,,,,,0.00102,0.00027,,,,,0.00198,0.00019,,,,,0.01133,0.0002,,,,,0.00058,9.00E-05,,,,,<LOD,0.00019,,,,,0.00476,6.00E-05,,,,,0.00714,7.00E-05,,,,,0.0013,7.00E-05,,,,,0.02346,0.00013,,,,,0.0007,8.00E-05,,,,,<LOD,0.00057,,,,,<LOD,0.00179,,,,,<LOD,0.00204,,,,,<LOD,0.0028,,,,,<LOD,0.00359,,,,,0.03591,0.01104,,,,,<LOD,0.00117,,,,,<LOD,0.00072,,,,,0.0048,0.00011,,,,,0.00299,0.0004,,,,,<LOD,0.00103,,,,,<LOD,0.0006,,,,,70.94022,0.11916,,,,
29,50,5/17/20,13:35:27,Geochem(3-Beam),idvl,C02,33.59657773,-101.8636366,No error ,Administrator,0,,%,0.51993,0.16663,,,,,3.84875,0.03994,,,,,19.36564,0.062,,,,,0.09574,0.00303,,,,,0.05618,0.00301,,,,,1.1562,0.0048,,,,,1.11385,0.00424,,,,,0.26667,0.00795,,,,,<LOD,0.01001,,,,,0.00313,0.001,,,,,0.02559,0.00103,,,,,1.45779,0.00587,,,,,<LOD,0.00552,,,,,0.00095,0.0003,,,,,0.0036,0.00022,,,,,0.0107,0.00022,,,,,0.00065,0.0001,,,,,<LOD,0.00021,,,,,0.00504,7.00E-05,,,,,0.00775,8.00E-05,,,,,0.00143,8.00E-05,,,,,0.03425,0.00018,,,,,0.00075,9.00E-05,,,,,<LOD,0.00065,,,,,<LOD,0.00196,,,,,<LOD,0.00224,,,,,<LOD,0.00308,,,,,<LOD,0.00395,,,,,<LOD,0.1364,,,,,<LOD,0.00126,,,,,<LOD,0.0008,,,,,0.00502,0.00012,,,,,<LOD,0.00249,,,,,<LOD,0.00117,,,,,<LOD,0.00068,,,,,72.02042,0.14135,,,,
30,51,5/17/20,13:37:05,Geochem(3-Beam),idvl,D02,33.59661934,-101.8636748,No error ,Administrator,0,,%,<LOD,1.03483,,,,,3.73203,0.04187,,,,,22.37253,0.06274,,,,,0.0673,0.00327,,,,,0.02684,0.00346,,,,,1.19779,0.00495,,,,,1.02524,0.00393,,,,,0.30998,0.00883,,,,,<LOD,0.01083,,,,,0.00422,0.00112,,,,,0.02158,0.00106,,,,,1.45287,0.00575,,,,,<LOD,0.00605,,,,,0.00188,0.00034,,,,,0.00298,0.00025,,,,,0.0097,0.00023,,,,,0.00064,0.00012,,,,,<LOD,0.00023,,,,,0.00543,8.00E-05,,,,,0.00919,0.0001,,,,,0.00172,9.00E-05,,,,,0.04218,0.0002,,,,,0.00083,0.0001,,,,,<LOD,0.00073,,,,,<LOD,0.00216,,,,,<LOD,0.00245,,,,,0.00239,0.00059,,,,,<LOD,0.00433,,,,,<LOD,0.14467,,,,,<LOD,0.00137,,,,,<LOD,0.00088,,,,,0.00605,0.00014,,,,,<LOD,0.00277,,,,,<LOD,0.0013,,,,,<LOD,0.00077,,,,,69.70663,0.08283,,,,
31,52,5/17/20,13:38:23,Geochem(3-Beam),idvl,E02,33.59670586,-101.8636648,No error ,Administrator,0,,%,<LOD,1.25073,,,,,3.81005,0.04338,,,,,18.00649,0.05557,,,,,0.06462,0.00307,,,,,0.01766,0.00323,,,,,1.21662,0.005,,,,,0.69258,0.00318,,,,,0.35978,0.00904,,,,,<LOD,0.01165,,,,,0.00555,0.00113,,,,,0.02346,0.0011,,,,,1.6698,0.00639,,,,,<LOD,0.0064,,,,,0.00207,0.00034,,,,,0.00239,0.00024,,,,,0.01149,0.00024,,,,,<LOD,0.00063,,,,,<LOD,0.00023,,,,,0.00575,8.00E-05,,,,,0.00769,9.00E-05,,,,,0.00172,9.00E-05,,,,,0.03896,0.00019,,,,,0.00084,0.0001,,,,,<LOD,0.00071,,,,,<LOD,0.00214,,,,,<LOD,0.00247,,,,,<LOD,0.00341,,,,,<LOD,0.00438,,,,,<LOD,0.15317,,,,,0.001,0.00026,,,,,<LOD,0.00088,,,,,0.0072,0.00015,,,,,<LOD,0.0027,,,,,<LOD,0.00127,,,,,<LOD,0.00075,,,,,74.05428,0.07818,,,,
32,53,5/17/20,13:40:14,Geochem(3-Beam),idvl,F02,33.59659701,-101.8637004,No error ,Administrator,0,,%,<LOD,1.42784,,,,,2.67846,0.03933,,,,,14.01071,0.04766,,,,,0.11067,0.0035,,,,,0.10659,0.00351,,,,,0.7743,0.00389,,,,,1.94634,0.00632,,,,,0.17076,0.00773,,,,,<LOD,0.00982,,,,,<LOD,0.00459,,,,,0.02306,0.00105,,,,,1.08895,0.00485,,,,,<LOD,0.00518,,,,,0.00145,0.00033,,,,,0.00176,0.00022,,,,,0.00956,0.00022,,,,,0.00078,0.0001,,,,,<LOD,0.00023,,,,,0.0038,7.00E-05,,,,,0.00898,9.00E-05,,,,,0.00101,8.00E-05,,,,,0.01783,0.00014,,,,,0.00054,9.00E-05,,,,,0.00044,0.00012,,,,,<LOD,0.00215,,,,,<LOD,0.00245,,,,,<LOD,0.00337,,,,,<LOD,0.00432,,,,,<LOD,0.13732,,,,,<LOD,0.00134,,,,,<LOD,0.00084,,,,,0.00442,0.00013,,,,,<LOD,0.00269,,,,,<LOD,0.00127,,,,,<LOD,0.00074,,,,,79.03959,0.06915,,,,
33,54,5/17/20,13:43:35,Geochem(3-Beam),idvl,F01,33.59671768,-101.8636482,No error ,Administrator,0,,%,0.88602,0.12483,,,,,3.99879,0.03445,,,,,18.72534,0.05021,,,,,0.11337,0.0026,,,,,0.09993,0.00248,,,,,1.06781,0.00377,,,,,1.37581,0.00411,,,,,0.21362,0.00642,,,,,<LOD,0.0081,,,,,0.0054,0.00085,,,,,0.02553,0.00086,,,,,1.3311,0.00465,,,,,<LOD,0.00457,,,,,0.00199,0.00025,,,,,0.00225,0.00018,,,,,0.02557,0.00027,,,,,0.00067,8.00E-05,,,,,<LOD,0.00018,,,,,0.00457,6.00E-05,,,,,0.01065,8.00E-05,,,,,0.00135,6.00E-05,,,,,0.0259,0.00013,,,,,0.00065,7.00E-05,,,,,<LOD,0.00053,,,,,0.00092,0.0003,,,,,<LOD,0.00187,,,,,<LOD,0.00256,,,,,<LOD,0.00328,,,,,0.04055,0.01024,,,,,<LOD,0.00122,,,,,<LOD,0.00068,,,,,0.00435,0.0001,,,,,0.00348,0.00037,,,,,<LOD,0.00097,,,,,<LOD,0.00057,,,,,72.03439,0.11079,,,,
34,55,5/17/20,13:45:35,Geochem(3-Beam),idvl,E01,33.59680782,-101.8637058,No error ,Administrator,0,,%,<LOD,1.16181,,,,,3.56644,0.04233,,,,,20.15045,0.05952,,,,,0.08977,0.00342,,,,,0.08185,0.00362,,,,,1.18592,0.00498,,,,,1.05766,0.00406,,,,,0.2417,0.00846,,,,,<LOD,0.01083,,,,,0.00332,0.00111,,,,,0.02124,0.00105,,,,,1.22022,0.00519,,,,,<LOD,0.00554,,,,,0.0016,0.00034,,,,,0.00155,0.00024,,,,,0.00909,0.00023,,,,,0.00062,0.0001,,,,,<LOD,0.00024,,,,,0.00485,8.00E-05,,,,,0.00753,9.00E-05,,,,,0.00136,8.00E-05,,,,,0.0349,0.00018,,,,,0.00087,9.00E-05,,,,,0.00053,0.00013,,,,,<LOD,0.00219,,,,,<LOD,0.00251,,,,,0.00206,0.00059,,,,,<LOD,0.00444,,,,,<LOD,0.14572,,,,,<LOD,0.00139,,,,,<LOD,0.00088,,,,,0.00428,0.00013,,,,,<LOD,0.00275,,,,,<LOD,0.0013,,,,,<LOD,0.00076,,,,,72.31219,0.08003,,,,
